央视频道,#genre#
CCTV二套,http://58.17.48.228:808/hls/2/index.m3u8
CCTV八套,http://58.17.48.228:808/hls/8/index.m3u8
CCTV六套,http://58.17.48.228:808/hls/6/index.m3u8
CCTV十七,http://58.17.48.228:808/hls/7/index.m3u8
CCTV十三,http://58.17.48.228:808/hls/13/index.m3u8
CCTV十二,http://58.17.48.228:808/hls/12/index.m3u8
CCTV十四,http://58.17.48.228:808/hls/14/index.m3u8
CCTV十套,http://58.17.48.228:808/hls/10/index.m3u8
卫视频道,#genre#
东南卫视,http://60.220.147.32:808/hls/28/index.m3u8
东南卫视,http://114.104.171.233:20080/hls/18/index.m3u8
东南卫视,http://60.220.147.154:808/hls/28/index.m3u8
东南卫视,http://182.123.73.39:8090/hls/33/index.m3u8
东南卫视,http://1.24.190.134:10080/hls/88/index.m3u8
东南卫视,http://118.249.4.215:8082/hls/30/index.m3u8
东南卫视,http://58.17.48.228:808/hls/47/index.m3u8
东南卫视,http://221.0.78.198:1681/hls/10240/index.m3u8
东方卫视,http://221.0.78.198:1681/hls/10232/index.m3u8
东方卫视,http://123.10.77.30:808/hls/37/index.m3u8
东方卫视,http://60.220.147.154:808/hls/22/index.m3u8
东方卫视,http://60.220.147.32:808/hls/22/index.m3u8
东方卫视,http://58.17.48.228:808/hls/33/index.m3u8
东方卫视,http://123.10.78.233:808/hls/37/index.m3u8
东方卫视,http://1.70.11.191:808/hls/22/index.m3u8
东方卫视,http://111.61.236.247:9081/hls/40/index.m3u8
云南卫视,http://123.10.77.236:808/hls/46/index.m3u8
云南卫视,http://114.104.171.233:20080/hls/30/index.m3u8
云南卫视,http://60.220.147.32:808/hls/47/index.m3u8
云南卫视,http://60.220.147.154:808/hls/47/index.m3u8
云南卫视,http://123.10.78.233:808/hls/46/index.m3u8
云南卫视,http://110.241.188.74:808/hls/47/index.m3u8
云南卫视,http://222.219.183.103:8089/hls/20/index.m3u8
云南卫视,http://1.70.11.191:808/hls/47/index.m3u8
兵团卫视,http://1.24.190.134:10080/hls/89/index.m3u8
兵团卫视,http://58.17.48.228:808/hls/62/index.m3u8
内蒙古卫视,http://221.0.78.198:1681/hls/10254/index.m3u8
内蒙古卫视,http://60.220.147.154:808/hls/48/index.m3u8
内蒙古卫视,http://60.220.147.32:808/hls/48/index.m3u8
内蒙古卫视,http://118.249.4.215:8082/hls/44/index.m3u8
内蒙古卫视,http://221.0.78.26:881/hls/50255/index.m3u8
内蒙古卫视,http://58.17.48.228:808/hls/60/index.m3u8
内蒙古卫视,http://1.70.11.191:808/hls/48/index.m3u8
内蒙古卫视,http://1.24.190.134:10080/hls/31/index.m3u8
北京卫视,http://114.104.171.233:20080/hls/19/index.m3u8
北京卫视,http://60.220.147.32:808/hls/27/index.m3u8
北京卫视,http://60.220.147.154:808/hls/27/index.m3u8
北京卫视,http://123.10.77.236:808/hls/36/index.m3u8
北京卫视,http://1.24.190.134:10080/hls/68/index.m3u8
北京卫视,http://118.249.4.215:8082/hls/23/index.m3u8
北京卫视,http://123.10.78.233:808/hls/36/index.m3u8
北京卫视,http://1.70.11.191:808/hls/27/index.m3u8
南方卫视,http://113.101.119.122:8090/hls/109/index.m3u8
南方卫视,http://113.101.119.122:808/hls/109/index.m3u8
南方卫视,http://113.101.119.26:808/hls/109/index.m3u8
南方卫视,http://113.101.119.26:8090/hls/109/index.m3u8
厦门卫视,http://123.10.77.236:808/hls/69/index.m3u8
厦门卫视,http://123.10.78.233:808/hls/69/index.m3u8
厦门卫视,http://123.10.78.233:808/hls/69/index.m3u8
厦门卫视,http://221.0.78.198:1681/hls/10263/index.m3u8
吉林卫视,http://221.0.78.198:1681/hls/10243/index.m3u8
吉林卫视,http://114.104.171.233:20080/hls/34/index.m3u8
吉林卫视,http://60.220.147.32:808/hls/45/index.m3u8
吉林卫视,http://60.220.147.154:808/hls/45/index.m3u8
吉林卫视,http://58.17.48.228:808/hls/56/index.m3u8
吉林卫视,http://182.123.73.39:8090/hls/39/index.m3u8
吉林卫视,http://110.241.188.74:808/hls/36/index.m3u8
吉林卫视,http://118.249.4.215:8082/hls/41/index.m3u8
四川卫视,http://221.0.78.198:1681/hls/10244/index.m3u8
四川卫视,http://114.104.171.233:20080/hls/25/index.m3u8
四川卫视,http://60.220.147.32:808/hls/30/index.m3u8
四川卫视,http://60.220.147.154:808/hls/30/index.m3u8
四川卫视,http://123.10.77.236:808/hls/44/index.m3u8
四川卫视,http://110.241.188.74:808/hls/31/index.m3u8
四川卫视,http://1.183.141.194:8001/hls/33/index.m3u8
四川卫视,http://123.10.78.233:808/hls/44/index.m3u8
天津卫视,http://114.104.171.233:20080/hls/32/index.m3u8
天津卫视,http://60.220.147.32:808/hls/44/index.m3u8
天津卫视,http://58.17.48.228:808/hls/42/index.m3u8
天津卫视,http://123.10.77.236:808/hls/38/index.m3u8
天津卫视,http://1.70.11.191:808/hls/44/index.m3u8
天津卫视,http://1.24.190.134:10080/hls/69/index.m3u8
天津卫视,http://110.241.188.74:808/hls/22/index.m3u8
天津卫视,http://111.61.236.247:9081/hls/29/index.m3u8
宁夏卫视,http://123.10.78.233:808/hls/59/index.m3u8
宁夏卫视,http://60.220.147.32:808/hls/49/index.m3u8
宁夏卫视,http://60.220.147.154:808/hls/49/index.m3u8
宁夏卫视,http://111.61.236.247:9081/hls/51/index.m3u8
宁夏卫视,http://123.10.77.30:808/hls/59/index.m3u8
宁夏卫视,http://123.10.77.236:808/hls/59/index.m3u8
宁夏卫视,http://1.70.11.191:808/hls/49/index.m3u8
宁夏卫视,http://110.241.188.74:808/hls/41/index.m3u8
安徽卫视,http://114.104.171.233:20080/hls/14/index.m3u8
安徽卫视,http://123.10.77.236:808/hls/40/index.m3u8
安徽卫视,http://110.241.188.74:808/hls/29/index.m3u8
安徽卫视,http://60.220.147.154:808/hls/25/index.m3u8
安徽卫视,http://1.24.190.134:10080/hls/85/index.m3u8
安徽卫视,http://182.122.72.181:8089/hls/37/index.m3u8
安徽卫视,http://123.10.78.233:808/hls/40/index.m3u8
安徽卫视,http://58.17.48.228:808/hls/36/index.m3u8
山东卫视,http://60.220.147.32:808/hls/39/index.m3u8
山东卫视,http://114.104.171.233:20080/hls/21/index.m3u8
山东卫视,http://110.241.188.74:808/hls/24/index.m3u8
山东卫视,http://60.220.147.154:808/hls/39/index.m3u8
山东卫视,http://123.10.77.236:808/hls/39/index.m3u8
山东卫视,http://1.70.11.191:808/hls/39/index.m3u8
山东卫视,http://221.0.78.198:1681/hls/10218/index.m3u8
山东卫视,http://118.249.4.215:8082/hls/34/index.m3u8
山西卫视,http://114.104.171.233:20080/hls/36/index.m3u8
山西卫视,http://221.0.78.198:1681/hls/10248/index.m3u8
山西卫视,http://123.10.77.236:808/hls/56/index.m3u8
山西卫视,http://123.10.78.233:808/hls/56/index.m3u8
山西卫视,http://182.123.73.39:8090/hls/40/index.m3u8
山西卫视,http://118.249.4.215:8082/hls/43/index.m3u8
山西卫视,http://111.61.236.247:9081/hls/47/index.m3u8
广东卫视,http://114.104.171.233:20080/hls/22/index.m3u8
广东卫视,http://60.220.147.154:808/hls/33/index.m3u8
广东卫视,http://60.220.147.32:808/hls/33/index.m3u8
广东卫视,http://123.10.77.236:808/hls/51/index.m3u8
广东卫视,http://118.249.4.215:8082/hls/24/index.m3u8
广东卫视,http://58.17.48.228:808/hls/45/index.m3u8
广东卫视,http://1.70.11.191:808/hls/33/index.m3u8
广东卫视,http://221.0.78.198:1681/hls/10253/index.m3u8
广西卫视,http://221.0.78.198:1681/hls/10239/index.m3u8
广西卫视,http://123.10.77.236:808/hls/52/index.m3u8
广西卫视,http://114.104.171.233:20080/hls/24/index.m3u8
广西卫视,http://60.220.147.32:808/hls/34/index.m3u8
广西卫视,http://60.220.147.154:808/hls/34/index.m3u8
广西卫视,http://182.123.73.39:8090/hls/36/index.m3u8
广西卫视,http://1.70.11.191:808/hls/34/index.m3u8
广西卫视,http://111.61.236.247:9081/hls/44/index.m3u8
新疆卫视,http://60.220.147.32:808/hls/52/index.m3u8
新疆卫视,http://60.220.147.154:808/hls/52/index.m3u8
新疆卫视,http://123.10.78.233:808/hls/63/index.m3u8
新疆卫视,http://111.61.236.247:9081/hls/53/index.m3u8
新疆卫视,http://118.249.4.215:8082/hls/47/index.m3u8
旅游卫视,http://114.104.171.233:20080/hls/47/index.m3u8
旅游卫视,http://110.241.188.74:808/hls/45/index.m3u8
旅游卫视,http://182.123.73.39:8090/hls/38/index.m3u8
旅游卫视,http://111.61.236.247:9081/hls/50/index.m3u8
江苏卫视,http://114.104.171.233:20080/hls/16/index.m3u8
江苏卫视,http://114.104.171.233:20080/hls/20/index.m3u8
江苏卫视,http://221.0.78.198:1681/hls/10234/index.m3u8
江苏卫视,http://60.220.147.32:808/hls/26/index.m3u8
江苏卫视,http://111.61.236.247:9081/hls/26/index.m3u8
江苏卫视,http://60.220.147.154:808/hls/26/index.m3u8
江苏卫视,http://123.10.78.233:808/hls/71/index.m3u8
江苏卫视,http://110.241.188.74:808/hls/20/index.m3u8
江西卫视,http://221.0.78.198:1681/hls/10247/index.m3u8
江西卫视,http://114.104.171.233:20080/hls/27/index.m3u8
江西卫视,http://123.10.77.236:808/hls/42/index.m3u8
江西卫视,http://123.10.78.233:808/hls/42/index.m3u8
江西卫视,http://60.220.147.32:808/hls/42/index.m3u8
江西卫视,http://60.220.147.154:808/hls/42/index.m3u8
江西卫视,http://123.10.77.30:808/hls/42/index.m3u8
江西卫视,http://1.70.11.191:808/hls/42/index.m3u8
河北卫视,http://221.0.78.198:1681/hls/10242/index.m3u8
河北卫视,http://114.104.171.233:20080/hls/28/index.m3u8
河北卫视,http://60.220.147.32:808/hls/50/index.m3u8
河北卫视,http://60.220.147.154:808/hls/50/index.m3u8
河北卫视,http://1.183.141.194:8001/hls/41/index.m3u8
河北卫视,http://1.70.11.191:808/hls/50/index.m3u8
河北卫视,http://182.123.73.39:8090/hls/37/index.m3u8
河北卫视,http://1.24.190.134:10080/hls/78/index.m3u8
河南卫视,http://114.104.171.233:20080/hls/23/index.m3u8
河南卫视,http://221.0.78.198:1681/hls/10259/index.m3u8
河南卫视,http://60.220.147.32:808/hls/40/index.m3u8
河南卫视,http://60.220.147.154:808/hls/40/index.m3u8
河南卫视,http://123.10.77.236:808/hls/17/index.m3u8
河南卫视,http://110.241.188.74:808/hls/48/index.m3u8
河南卫视,http://1.70.11.191:808/hls/40/index.m3u8
河南卫视,http://58.17.48.228:808/hls/55/index.m3u8
浙江卫视,http://123.10.77.236:808/hls/35/index.m3u8
浙江卫视,http://114.104.171.233:20080/hls/17/index.m3u8
浙江卫视,http://60.220.147.154:808/hls/24/index.m3u8
浙江卫视,http://60.220.147.32:808/hls/24/index.m3u8
浙江卫视,http://123.10.78.233:808/hls/35/index.m3u8
浙江卫视,http://123.10.77.30:808/hls/35/index.m3u8
浙江卫视,http://1.70.11.191:808/hls/24/index.m3u8
